,listing_id,date,available,price
19017554,22186295,2018-04-17,f,
7742295,15969743,2018-12-22,f,
16690993,10822181,2018-06-07,f,
1259999,9878424,2018-11-29,t,$60.00
5370057,22884753,2018-07-16,f,
4658529,2933275,2018-10-09,f,
8887461,440257,2018-12-20,f,
21228370,17409684,2018-04-06,f,
13826728,7231404,2018-07-06,f,
12660766,6962190,2019-02-23,f,
5627592,13583829,2019-02-13,f,
4293365,551613,2018-07-16,f,
9904583,13554111,2018-04-13,f,
12835928,18902586,2018-04-03,f,
6632211,9808172,2018-09-24,f,
5450553,15996914,2019-02-26,t,$525.00
20994086,16472667,2019-02-19,f,
16294073,4506842,2018-11-19,t,$59.00
16522859,3416781,2018-12-11,f,
3682390,8592251,2018-06-09,f,
6025126,6255910,2018-08-29,f,
15575637,13146604,2018-03-14,f,
20398872,7606815,2018-11-09,f,
16062788,19026497,2019-01-28,f,
21804054,2662559,2018-11-21,f,
1526623,14943455,2018-08-24,t,$255.00
8799223,792025,2018-04-20,t,$90.00
8509196,5823272,2018-04-24,f,
10153237,17892154,2019-02-04,f,
746304,17139703,2018-07-06,f,
11959417,979785,2018-07-10,t,$70.00
8519270,13038337,2018-08-15,f,
3200038,18282669,2018-08-18,t,$56.00
9009858,8515039,2018-08-08,f,
3365067,17018928,2018-10-10,t,$223.00
6029262,12776749,2018-06-22,t,$40.00
16197042,10147831,2018-09-20,f,
6557588,22256483,2018-03-09,f,
10080039,12816763,2018-05-23,f,
15899257,6238043,2018-06-14,f,
2249158,4865298,2019-02-07,f,
796636,21797404,2018-07-05,f,
4518523,15828038,2018-08-24,t,$69.00
7168280,10897945,2019-01-20,f,
9693341,22458166,2018-11-15,t,$711.00
6516665,6257019,2018-04-21,t,$60.00
21840704,13873444,2019-03-07,t,$39.00
21531184,3453514,2018-08-06,f,
14716437,16435821,2019-03-04,t,$250.00
20990833,1787426,2019-01-05,t,$62.00
16256153,7645154,2018-09-20,f,
957986,21844367,2018-04-27,f,
10168770,12593463,2018-06-26,t,$80.00
